aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-0.5	6.0	-6.6	6.6	7.7	0.5			3.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681499.69628	25.0	25.0	25.0	26.34	25.0	30.74	30.55	32.66	143	161	149	49	39	38			226	318	415	231	325	420		
0.2	6.0	-6.6	6.6	7.8	0.5			3.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681499.796455	25.0	25.0	25.0	26.25	25.0	30.71	30.33	32.56	143	161	149	49	39	38			226	318	415	231	325	420		
-1.0	6.0	-6.7	6.7	7.8	0.4			3.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681499.898574	25.0	25.0	25.0	26.14	25.0	30.66	30.24	32.45	143	161	149	49	39	38			226	318	415	231	325	420		
-0.5	6.0	-6.7	6.7	7.8	0.4			3.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681500.007396	25.0	25.0	25.0	26.05	25.0	30.63	30.4	32.33	143	161	149	49	39	38			226	318	415	231	325	420		
-0.5	6.0	-6.6	6.6	7.7	0.5			3.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681500.103173	25.0	25.0	25.0	25.95	25.0	30.59	30.25	32.1	143	161	149	49	39	38			226	318	415	231	325	420		
-0.5	6.1	-6.6	6.6	7.7	0.5			3.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681500.206768	25.0	25.0	25.0	25.87	25.0	30.55	30.38	32.12	143	161	149	49	39	38			226	318	415	231	325	420		
-0.7	5.9	-6.8	6.8	7.7	0.2			3.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681500.303828	25.0	25.0	25.0	25.8	25.0	30.52	30.11	31.9	143	161	149	49	39	38			226	318	415	231	325	420		
-0.8	6.0	-7.0	7.0	7.9				3.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681500.406357	25.0	25.0	25.0	25.71	25.0	30.48	30.03	31.9	143	161	149	49	39	38			226	318	415	231	325	420		
-0.7	6.0	-6.6	6.6	7.7	0.5			3.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548681500.509697	25.0	25.0	25.0	25.6	25.0	30.44	30.13	32.01	143	161	149	49	39	38			226	318	415	231	325	420		
-0.5	6.0	-6.7	6.7	7.8	0.3			3.5	1.0	1.0	1.0	1.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.81	0.79	0.0	0.25	0.76	0.0	0.0	1548681500.613028	25.0	75.0	75.0	25.51	44.61	75.0	29.77	31.72	143	161	149	49	39	38			226	318	415	231	325	420		
-0.8	6.0	-6.7	6.7	7.7	0.2			3.3999999999999773	1.0	1.0	1.0	1.0	0.01	0.19	0.18	0.01	0.01	0.29	0.01	0.01	0.0	0.81	0.79	0.0	0.25	0.76	0.0	0.0	1548681500.717828	25.0	75.0	75.0	25.43	47.73	75.0	29.83	31.85	143	161	149	49	39	38			226	318	415	231	325	420		
-1.0	6.8	-6.4	6.4	6.2	0.6			3.5	1.0	1.0	1.0	1.0	0.01	0.52	0.71	0.01	0.07	0.46	0.01	0.01	0.0	0.81	0.79	0.0	0.25	0.76	0.0	0.0	1548681500.816073	25.0	49.42	37.98	25.38	46.07	60.72	29.76	31.78	143	161	149	49	39	38			226	318	415	231	325	420		
-1.6	7.8	-5.3	5.3	4.9	3.0			3.3999999999999773	1.0	1.0	1.0	1.0	0.01	0.77	0.44	0.01	0.12	0.72	0.01	0.01	0.0	0.81	0.79	0.0	0.25	0.76	0.0	0.0	1548681500.920191	25.0	46.51	66.51	25.25	43.69	45.23	29.68	31.7	143	161	149	49	39	38			226	318	415	231	325	420		
