aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-6.8	4.1	-2.7	2.7	13.3	0.6			1.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684200.285656	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	115	139	120	48	46	45			206	270	340	205	273	342		
-6.8	4.1	-2.7	2.7	13.3	0.7			1.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684200.386329	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	115	139	120	48	46	45			206	270	340	205	273	342		
-6.8	4.1	-2.7	2.7	13.3	0.7			1.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684200.49061	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	115	139	120	48	46	45			206	270	340	205	273	342		
-6.9	4.1	-2.7	2.7	13.3	0.6			1.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684200.59111	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	115	139	120	48	46	45			206	270	340	205	273	342		
-6.9	4.2	-2.7	2.7	13.3	0.6			1.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684200.697929	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	115	139	120	48	46	45			206	270	340	205	273	342		
-6.8	4.2	-2.7	2.7	13.3	0.6			1.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684200.802352	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	115	139	120	48	46	45			206	270	340	205	273	342		
-6.8	4.1	-2.6	2.6	13.2	0.7			1.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684200.903491	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	115	139	120	48	46	45			206	270	340	205	273	342		
-6.8	4.1	-2.6	2.6	13.2	0.7			1.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684201.006288	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	115	139	120	48	46	45			206	270	340	205	273	342		
-6.6	4.1	-1.8	1.8	12.0	1.3			1.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684201.103512	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	115	139	120	48	46	45			206	270	340	205	273	342		
-7.0	4.5	-1.3	1.3	11.8	1.3			1.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684201.204687	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	115	139	120	48	46	45			206	270	340	205	273	342		
-6.8	3.9	-2.8	2.8	13.3	0.6			1.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684201.305109	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	115	139	120	48	46	45			206	270	340	205	273	342		
-6.7	3.7	-1.5	1.5	11.9	1.4			1.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684201.407102	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	115	139	120	48	46	45			206	270	340	205	273	342		
-6.5	3.7	-3.0	3.0	13.1	1.2			1.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684201.508965	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	115	139	120	48	46	45			206	270	340	205	273	342		
-6.9	4.1	-2.6	2.6	13.1	0.7			1.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684201.60949	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	115	139	120	48	46	45			206	270	340	205	273	342		
-6.7	3.9	-1.6	1.6	11.6	1.2			1.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684201.71805	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	115	139	120	48	46	45			206	270	340	205	273	342		
-6.6	3.7	-3.0	3.0	13.2	1.1			1.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684201.818723	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	115	139	120	48	46	45			206	270	340	205	273	342		
-6.9	4.2	-2.5	2.5	13.1	0.7			1.6000000000000227	1.0	1.0	1.0	1.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.76	0.73	0.0	0.0	0.76	0.0	0.0	1548684201.943626	25.0	75.0	75.0	25.0	25.0	75.0	25.0	25.0	115	139	120	48	46	45			206	270	340	205	273	342		
-6.8	4.1	-2.8	2.8	13.3	0.6			1.6000000000000227	1.0	0.0	0.0	1.0	0.01	0.16	0.18	0.01	0.01	0.17	0.01	0.0	0.0	0.76	0.73	0.0	0.0	0.76	0.0	0.0	1548684202.043621	25.0	75.0	75.0	25.0	25.0	75.0	25.0	25.0	115	139	120	48	46	45			206	270	340	205	273	342		
-7.0	4.1	-1.7	1.7	11.9	2.1			1.3999999999999773	1.0	0.0	0.0	1.0	0.01	0.59	0.65	0.01	0.01	0.49	0.01	0.0	0.81	0.0	0.0	0.78	0.73	0.0	0.0	0.0	1548684202.145087	75.0	25.0	25.0	75.0	75.0	25.0	25.0	25.0	116	139	120	49	46	45			206	270	340	205	273	342		
-9.4	9.1	2.8	-2.8	8.3	6.6			1.1000000000000227	1.0	0.0	0.0	1.0	0.18	0.01	0.01	0.05	0.1	0.02	0.01	0.0	0.81	0.0	0.0	0.78	0.73	0.0	0.0	0.0	1548684202.245985	75.0	31.42	32.24	75.0	75.0	30.8	25.0	25.0	115	139	120	48	46	45			206	271	341	205	272	342		
-11.4	14.2	6.3	-6.3	5.5	8.3			0.39999999999997726	1.0	0.0	0.0	1.0	0.59	0.01	0.01	0.83	0.68	0.01	0.01	0.0	0.81	0.0	0.0	0.78	0.73	0.0	0.0	0.0	1548684202.352953	42.88	31.79	33.14	34.38	38.24	32.21	25.0	25.0	115	139	120	48	45	45			206	272	341	204	272	342		
-8.8	10.5	3.6	-3.6	6.9	5.9			0.6999999999999886	1.0	0.0	0.0	1.0	0.55	0.01	0.01	0.48	0.46	0.01	0.01	0.0	0.81	0.0	0.0	0.78	0.73	0.0	0.0	0.0	1548684202.466202	59.35	31.85	32.99	63.74	60.83	32.33	25.0	25.0	116	138	120	48	45	45			206	271	341	205	272	342		
7.1	-6.6	-22.4	22.4	37.2	-8.4			3.1000000000000227	1.0	0.0	0.0	1.0	0.66	0.01	0.01	0.61	0.58	0.01	0.01	0.0	0.81	0.0	0.0	0.78	0.73	0.0	0.0	0.0	1548684202.558864	49.06	31.62	32.87	52.88	52.46	32.27	25.0	25.0	116	142	127	46	49	46			206	269	341	205	274	342		
15.0		-31.3	31.3	46.1	-12.0			4.300000000000011	1.0	0.0	0.0	1.0	0.67	0.01	0.01	0.61	0.59	0.01	0.01	0.0	0.81	0.0	0.0	0.78	0.73	0.0	0.0	0.0	1548684202.658607	52.48	31.73	32.75	56.85	53.82	32.17	25.0	25.0	117	143		46	51	46			206	268		206	275	342		
23.2	-1.3	-44.1	44.1	61.6	-14.4			6.800000000000011	1.0	0.0	0.0	1.0	0.7	0.01	0.01	0.65	0.61	0.01	0.01	0.0	0.81	0.0	0.0	0.78	0.73	0.0	0.0	0.0	1548684202.76478	50.82	31.64	32.64	55.0	53.11	32.12	25.0	25.0	117	146	153	46	57	45			205	265	336	209	276	342		
	-2.8	-50.7	50.7	69.7	-16.8			8.300000000000011	1.0	0.0	0.0	1.0	0.71	0.01	0.01	0.67	0.63	0.01	0.01	0.0	0.81	0.0	0.0	0.78	0.73	0.0	0.0	0.0	1548684202.869125	50.94	31.37	32.5	55.04	52.8	32.06	25.0	25.0		146	159	47	59	45				264	334	211	277	342		
