aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
0.2	5.4	3.2	-3.2	8.3	-1.4			4.300000000000011	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684301.472151	25.0	25.0	25.0	25.0	25.0	27.45	25.0	25.0	86	106	92	12	13	23			232	297	368	236	304	372		
0.1	5.5	3.0	-3.0	8.4	-1.5			4.300000000000011	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684301.569931	25.0	25.0	25.0	25.0	25.0	27.25	25.0	25.0	86	106	92	11	13	23			232	297	368	236	304	372		
0.2	5.4	3.3	-3.3	8.2	-1.3			4.399999999999977	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684301.670506	25.0	25.0	25.0	25.0	25.0	27.19	25.0	25.0	86	106	92	11	13	23			232	297	368	236	304	372		
0.2	5.6	3.4	-3.4	8.0	-1.1			4.300000000000011	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684301.771947	25.0	25.0	25.0	25.0	25.0	27.14	25.0	25.0	86	106	92	11	13	23			232	297	368	236	304	372		
0.3	5.4	3.0	-3.0	8.4	-1.5			4.300000000000011	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684301.875827	25.0	25.0	25.0	25.0	25.0	27.11	25.0	25.0	86	106	92	11	13	23			232	297	368	236	304	372		
0.2	5.6	3.2	-3.2	8.3	-1.1			4.300000000000011	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684301.973378	25.0	25.0	25.0	25.0	25.0	27.01	25.0	25.0	86	106	92	11	13	23			232	297	368	236	304	372		
-0.1	5.4	2.2	-2.2	9.5	-2.3			4.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684302.075777	25.0	25.0	25.0	25.0	25.0	26.98	25.0	25.0	86	106	92	11	13	23			232	297	368	236	304	372		
0.1	5.4	3.0	-3.0	8.6	-1.6			4.399999999999977	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684302.176889	25.0	25.0	25.0	25.0	25.0	26.94	25.0	25.0	86	106	92	12	13	23			232	297	368	236	304	372		
-0.5	5.6	2.4	-2.4	9.3	-2.0			4.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684302.27841	25.0	25.0	25.0	25.0	25.0	26.85	25.0	25.0	86	106	92	12	13	23			232	297	368	236	304	373		
0.4	5.5	3.3	-3.3	8.1	-1.0			4.199999999999989	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684302.380404	25.0	25.0	25.0	25.0	25.0	26.85	25.0	25.0	86	106	92	12	13	23			232	297	368	236	304	372		
0.5	4.7	2.0	-2.0	9.1	-2.1			4.399999999999977	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684302.481558	25.0	25.0	25.0	25.0	25.0	26.74	25.0	25.0	86	106	92	11	13	23			232	297	368	236	304	372		
0.4	5.4	3.0	-3.0	8.3	-1.5			4.300000000000011	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684302.58658	25.0	25.0	25.0	25.0	25.0	26.71	25.0	25.0	86	106	92	12	13	23			232	297	368	236	304	372		
0.2	5.5	3.2	-3.2	8.2	-1.2			4.300000000000011	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684302.686486	25.0	25.0	25.0	25.0	25.0	26.62	25.0	25.0	86	106	92	12	13	23			232	297	368	236	304	372		
0.2	5.5	3.0	-3.0	8.5	-1.4			4.300000000000011	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684302.791723	25.0	25.0	25.0	25.0	25.0	26.56	25.0	25.0	86	106	92	12	13	23			232	297	368	236	304	372		
-0.1	5.6	3.3	-3.3	8.4	-1.5			4.399999999999977	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684302.897309	25.0	25.0	25.0	25.0	25.0	26.5	25.0	25.0	86	106	92	11	13	23			232	297	368	236	304	372		
-0.3	5.4	2.2	-2.2	9.7	-2.1			4.399999999999977	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548684302.990308	25.0	25.0	25.0	25.0	25.0	26.43	25.0	25.0	86	106	92	12	13	23			232	297	368	236	304	372		
0.6	5.4	3.3	-3.3	8.3	-1.1			4.199999999999989	1.0	1.0	1.0	1.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.76	0.73	0.0	0.0	0.76	0.0	0.0	1548684303.092862	25.0	75.0	75.0	25.0	25.0	75.0	25.0	25.0	86	106	92	11	13	23			232	297	368	236	304	372		
0.4	5.6	2.9	-2.9	8.5	-1.4			4.300000000000011	1.0	0.0	0.0	1.0	0.01	0.75	0.31	0.01	0.01	0.75	0.01	0.01	0.0	0.76	0.73	0.0	0.0	0.76	0.0	0.0	1548684303.194347	25.0	43.74	71.41	25.0	25.0	43.45	25.0	25.0	86	106	92	11	13	23			232	297	368	236	304	372		
-0.4	5.9	3.1	-3.1	7.9	-1.6			4.199999999999989	1.0	0.0	0.0	1.0	0.02	0.26	0.49	0.01	0.01	0.36	0.01	0.01	0.81	0.0	0.0	0.78	0.73	0.0	0.0	0.0	1548684303.29664	75.0	25.0	25.0	75.0	75.0	25.0	25.0	25.0	86	106	92	12	13	24			232	297	368	236	304	372		
-0.4	5.9	3.1	-3.1	7.9	-1.6			4.199999999999989	1.0	0.0	0.0	1.0	0.74	0.01	0.01	0.17	0.27	0.01	0.01	0.01	0.81	0.0	0.0	0.78	0.73	0.0	0.0	0.0	1548684303.396893	48.09	33.09	34.42	75.0	73.61	34.5	25.0	25.0	86	106	92	12	13	24			232	297	368	236	304	372		
-4.7	14.1	9.3	-9.3	4.2	1.1			3.6999999999999886	1.0	0.0	0.0	1.0	0.51	0.01	0.01	0.52	0.49	0.01	0.01	0.01	0.81	0.0	0.0	0.78	0.73	0.0	0.0	0.0	1548684303.503161	59.41	33.09	34.46	57.35	55.38	34.77	25.0	25.0	86	106	92	11	12	24			232	298	369	235	304	373		
8.7	-2.4	-8.8	8.8		-8.4			4.899999999999977	1.0	0.0	0.0	1.0	0.7	0.01	0.01	0.59	0.5	0.01	0.01	0.01	0.81	0.0	0.0	0.78	0.73	0.0	0.0	0.0	1548684303.60481	48.85	33.14	34.34	56.83	58.51	34.89	25.0	25.0	87	108	94		15	24			232	296	369		304	372		
18.5		-26.4	26.4		-16.0			7.0	1.0	0.0	0.0	1.0	0.66	0.01	0.01	0.61	0.59	0.01	0.01	0.01	0.81	0.0	0.0	0.78	0.73	0.0	0.0	0.0	1548684303.718108	52.34	32.89	34.22	55.98	52.97	34.84	25.0	25.0	87	112			20	24			232	294			305	372		
27.4		-40.7	40.7		-19.5			9.300000000000011	1.0	0.0	0.0	1.0	0.7	0.01	0.01	0.64	0.61	0.01	0.01	0.01	0.81	0.0	0.0	0.78	0.73	0.0	0.0	0.0	1548684303.819695	51.17	32.94	34.09	55.85	52.81	34.77	25.0	25.0	87	115			26	24			232	291			306	372		
35.2	-0.3	-53.0	53.0	67.6	-23.7			12.300000000000011	1.0	0.0	0.0	1.0	0.72	0.01	0.01	0.66	0.63	0.01	0.01	0.01	0.81	0.0	0.0	0.78	0.73	0.0	0.0	0.0	1548684303.923292	50.93	32.68	33.95	55.19	52.7	34.7	25.0	25.0	87	117	138	19	31	23			231	289	357	241	307	373		
37.6	-0.4	-56.2	56.2	70.7	-24.9			12.899999999999977	1.0	0.0	0.0	1.0	0.73	0.01	0.01	0.68	0.64	0.01	0.01	0.01	0.81	0.0	0.0	0.78	0.73	0.0	0.0	0.0	1548684304.023866	50.66	32.51	33.82	54.93	52.59	34.63	25.0	25.0	87	117	142	19	32	23			232	288	355	241	308	373		
